635017536000000000,3,9,14,16,24,28,31,33,37,39,47,50,51,53,54,58,63,66,72,78,
635016672000000000,1,2,12,13,15,16,19,28,30,34,35,40,41,44,45,54,72,73,77,78,
635015808000000000,1,4,6,12,13,15,24,25,28,29,32,35,38,40,44,45,56,59,64,73,
635014944000000000,2,5,9,14,22,25,28,29,30,31,32,40,42,49,53,54,58,67,74,75,
635014080000000000,1,3,6,7,8,12,13,17,18,20,22,27,31,35,58,67,71,73,74,80,
635013216000000000,1,6,11,12,13,14,19,22,30,35,37,47,53,54,60,62,66,71,73,75,
635012352000000000,8,9,10,13,14,16,20,28,35,36,37,42,45,51,62,67,70,74,77,80,
635011488000000000,1,9,12,19,20,33,35,37,39,41,51,52,54,55,61,64,71,72,73,80,
635010624000000000,1,2,8,23,25,29,31,33,36,37,40,41,43,45,49,50,61,67,69,80,
635009760000000000,2,11,17,23,28,29,33,44,47,48,50,54,63,65,66,67,68,70,74,76,
635008896000000000,1,2,10,14,17,20,21,25,29,33,34,38,42,45,52,57,62,65,71,73,
635008032000000000,4,7,14,17,25,29,35,38,45,48,49,52,56,57,62,67,71,74,76,77,
635007168000000000,9,12,16,18,24,25,33,34,41,44,48,53,58,59,60,63,66,68,69,77,
635006304000000000,5,7,10,11,12,18,21,22,28,30,34,54,57,61,62,63,65,73,76,77,
635005440000000000,2,5,7,8,9,11,13,27,28,29,40,44,56,58,59,60,65,66,69,73,
635004576000000000,3,4,5,11,12,25,26,32,34,35,41,45,52,56,63,66,68,70,72,73,
635002848000000000,2,12,13,19,27,30,35,36,40,41,43,45,55,57,59,67,68,74,78,80,
635001984000000000,6,8,9,13,29,30,34,35,43,44,49,51,53,57,64,68,71,74,75,80,
635027040000000000,5,6,7,10,17,20,21,36,38,43,49,55,56,60,65,67,68,70,71,75,
634999392000000000,2,8,10,11,18,20,23,24,28,31,33,39,41,48,55,56,61,62,67,68,
634998528000000000,1,3,10,18,21,22,26,31,33,35,48,49,53,54,57,61,65,67,75,80,
634997664000000000,5,6,7,19,20,22,24,33,38,39,45,57,59,60,62,66,67,73,74,76,
634996800000000000,1,6,7,9,12,15,22,23,25,31,35,37,38,49,53,65,67,74,76,79,
634995936000000000,2,3,4,5,6,11,15,17,23,31,37,39,48,49,55,58,63,65,66,67,
634995072000000000,2,7,11,13,19,28,32,35,36,38,43,44,45,46,47,58,59,74,75,76,
634994208000000000,1,3,6,8,10,11,17,21,25,32,34,36,41,52,55,58,66,70,74,79,
634993344000000000,4,11,12,24,27,29,37,39,40,44,50,51,53,60,64,66,70,72,74,77,
634992480000000000,1,11,12,13,14,16,21,24,25,31,42,44,52,53,60,64,67,68,72,73,
634991616000000000,7,10,12,16,20,22,23,34,35,36,51,53,54,56,57,60,73,77,78,80,
634990752000000000,3,4,11,12,14,15,16,18,24,26,33,34,35,38,40,45,46,61,72,76,
634989888000000000,8,22,24,28,29,30,31,39,40,42,47,49,53,57,59,61,64,71,72,79,
634989024000000000,6,8,11,15,16,20,24,33,35,39,41,48,54,57,60,63,68,74,75,80,
634988160000000000,1,5,7,9,13,15,19,20,30,31,35,41,52,55,68,73,75,76,78,79,
634987296000000000,1,6,7,10,17,20,28,30,36,40,42,43,45,57,60,64,66,67,70,71,
634986432000000000,1,8,13,20,26,33,35,43,44,48,53,55,63,64,66,70,71,72,74,76,
634985568000000000,6,11,17,18,19,21,22,24,27,29,42,44,48,58,59,66,73,76,78,80,
634984704000000000,1,4,14,16,21,26,32,35,39,41,42,44,47,48,61,74,76,77,78,79,
634982976000000000,3,6,7,11,13,20,30,31,36,44,45,49,53,55,62,67,74,75,76,79,
634982112000000000,3,13,14,16,17,18,20,26,39,43,47,50,52,61,62,64,67,71,73,80,
634981248000000000,8,10,13,20,21,27,29,30,34,36,39,40,46,53,55,61,66,68,77,79,
634980384000000000,14,19,21,23,28,29,31,32,38,39,41,42,43,45,48,50,52,54,57,59,
634979520000000000,2,9,10,12,19,21,22,30,32,45,52,54,55,57,58,60,70,72,73,76,
634978656000000000,6,13,16,21,34,41,42,44,47,51,55,56,57,59,65,67,68,74,76,80,
634977792000000000,4,5,7,17,21,25,32,34,36,37,41,49,50,51,55,59,62,68,69,78,
634976928000000000,3,4,5,8,20,24,35,37,38,39,40,43,46,50,52,53,55,63,67,68,
634976064000000000,4,10,14,21,22,24,26,27,30,37,40,43,49,54,56,61,64,67,69,78,
634975200000000000,6,9,10,11,18,23,35,36,39,42,46,48,53,54,55,63,64,68,71,80,
634974336000000000,4,5,6,8,14,19,21,24,27,35,38,50,51,54,58,61,67,71,78,80,
634973472000000000,5,8,10,13,16,21,23,30,35,43,47,48,54,60,63,64,68,71,73,75,
