635017536000000000,20,28,30,32,44,47,
635017536000000000,4,10,38,46,47,49,
635014944000000000,5,8,10,13,20,39,
635014944000000000,2,14,17,32,42,45,
635011488000000000,16,27,31,33,37,46,
635011488000000000,4,6,7,23,39,43,
635008896000000000,12,15,20,29,35,41,
635008896000000000,1,4,9,24,30,44,
635005440000000000,5,23,27,34,38,46,
635005440000000000,16,17,26,31,41,43,
635002848000000000,8,25,26,29,34,39,
635002848000000000,4,13,19,31,39,45,
634999392000000000,28,33,40,41,42,48,
634999392000000000,14,23,36,38,45,48,
634996800000000000,3,10,11,22,38,40,
634996800000000000,2,3,6,19,21,30,
634993344000000000,10,14,18,32,47,49,
634993344000000000,4,15,19,20,25,45,
634990752000000000,4,14,22,24,25,30,
634990752000000000,2,9,16,22,27,39,
634987296000000000,4,6,31,42,47,48,
634987296000000000,10,22,29,31,41,43,
634984704000000000,3,34,35,44,45,48,
634984704000000000,13,14,19,22,35,39,
